,Economy,Normal
00:00,0.016205282,0.028758669
00:30,0.020566847,0.036498911
01:00,0.01824826,0.032384235
01:30,0.013541097,0.024030679
02:00,0.012430844,0.022060372
02:30,0.012132481,0.021530882
03:00,0.011190913,0.01985993
03:30,0.011917824,0.021149941
04:00,0.011297049,0.020048284
04:30,0.01154768,0.020493066
05:00,0.012028873,0.021347014
05:30,0.012367419,0.021947814
06:00,0.012574482,0.022315279
06:30,0.013397199,0.023775311
07:00,0.012755309,0.022636183
07:30,0.027598969,0.022878093
08:00,0.031095511,0.025776542
08:30,0.034517619,0.02861329
09:00,0.034772836,0.02882485
09:30,0.035836524,0.029706592
10:00,0.033767156,0.027991195
10:30,0.032706445,0.027111922
11:00,0.03453125,0.028624589
11:30,0.037316114,0.030933094
12:00,0.036600633,0.030339999
12:30,0.038492748,0.031908462
13:00,0.035133907,0.02912416
13:30,0.032549253,0.026981617
14:00,0.031747871,0.026317314
14:30,0.030661134,0.025416466
15:00,0.02929429,0.024283425
15:30,0.031364976,0.025999914
16:00,0.031953102,0.026487439
16:30,0.035505481,0.029432175
17:00,0.039740646,0.032942904
17:30,0.047729763,0.039565461
18:00,0.049865764,0.041336093
18:30,0.05093381,0.042221448
19:00,0.049022698,0.040637237
19:30,0.043835113,0.036337002
20:00,0.042748701,0.035436423
20:30,0.042651251,0.035355642
21:00,0.040885211,0.033891688
21:30,0.040930829,0.033929503
22:00,0.036728535,0.030446023
22:30,0.034909226,0.028937911
23:00,0.02929326,0.024282571
23:30,0.024617534,0.02040664
